2025-12-06 01:13:10 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:13:10 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:13:10 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:30:16 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:30:16 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:30:16 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:31:22 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:31:22 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:31:22 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:31:38 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:31:38 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:31:38 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:41:24 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:41:24 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:41:24 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:41:42 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:41:42 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:41:42 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:42:08 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:42:08 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:42:08 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:44:33 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:44:33 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:44:33 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:45:36 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:45:36 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:45:36 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:45:59 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:45:59 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:45:59 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:49:27 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:49:27 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:49:27 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:50:07 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:50:07 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:50:07 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:52:19 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:52:19 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:52:19 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 01:52:37 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 01:52:37 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 01:52:37 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:16:06 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:16:06 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:16:06 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:16:26 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:16:26 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:16:26 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:16:47 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:16:47 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:16:47 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:18:32 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:18:32 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:18:32 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:19:04 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:19:04 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:19:04 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:19:39 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:19:39 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:19:39 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:44:38 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:44:38 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:44:38 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:44:52 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:44:52 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:44:52 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:46:17 | INFO     | MeetingAnalyzer.src.ui.gradio_app_final | process_upload:1635 | Processing upload: type=text, meeting_type=meeting, diarization=True
2025-12-06 02:46:17 | INFO     | MeetingAnalyzer.src.ui.gradio_app_final | process_upload:1728 | Transcript ready: 4355 chars
2025-12-06 02:57:13 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:57:13 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:57:13 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 02:57:30 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 02:57:30 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 02:57:30 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:08:22 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:08:22 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:08:22 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:08:25 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:08:25 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:08:25 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:09:06 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:09:06 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:09:06 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:09:07 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:09:07 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:09:07 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:16:19 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:16:19 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:16:19 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:16:19 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:16:19 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:16:19 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:17:06 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:17:06 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:17:06 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:17:06 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:17:07 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:17:07 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:24:19 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:24:19 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:24:19 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:24:50 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
2025-12-06 03:24:50 | INFO     | MeetingAnalyzer | __init__:72 | Meeting Analyzer Pro - Logger Initialized
2025-12-06 03:24:50 | INFO     | MeetingAnalyzer | __init__:73 | ================================================================================
2025-12-06 03:28:50 | INFO     | MeetingAnalyzer | __init__:71 | ================================================================================
